year,total,ma3
1995,109,NA
1996,160,NA
1997,172,147
1998,175,169
1999,213,186.66666666666666
2000,287,225
2001,289,263
2002,309,295
2003,288,295.3333333333333
2004,365,320.6666666666667
2005,397,350
2006,395,385.6666666666667
2007,466,419.3333333333333
2008,497,452.6666666666667
2009,519,494
2010,598,538
2011,637,584.6666666666666
2012,746,660.3333333333334
2013,875,752.6666666666666
2014,840,820.3333333333334
2015,908,874.3333333333334
2016,1046,931.3333333333334
2017,1082,1012
2018,1170,1099.3333333333333
2019,1201,1151
2020,1319,1230
2021,1315,1278.3333333333333
2022,1219,1284.3333333333333
2023,1145,1226.3333333333333
2024,960,1108
2025,5863,2656
