journal,total,corpus_main
Computers & Education,85,D
Education And Information Technologies,89,D
Lecture Notes In Computer Science,107,D
Zenodo (Cern European Organization For Nuclear Research),114,C
Human Resource Development Quarterly,119,A
British Journal Of Educational Technology,135,D
The Learning Organization,135,A
Journal Of Learning Analytics,142,D
Advances In Developing Human Resources,143,A
Eyls (Yale Law School),147,C
Human Resource Development Review,154,A
Development In Practice,166,B
Journal Of Workplace Learning,166,A
Human Resource Development International,194,A
Ssrn Electronic Journal,228,C
