country,D1,D2,D3,D4,D5,D6,D7,IMECPJ,tier
USA,9,8.5,8,9,7.5,9.5,7.5,8.51,Avançado (≥ 8.0)
Singapore,9,9,8.5,9,7.5,6.5,8.5,8.4,Avançado (≥ 8.0)
United Kingdom,8.5,8,8.5,8,9,8.5,8,8.360000000000001,Avançado (≥ 8.0)
Australia,8,8.5,8.5,8,8.5,7.5,7.5,8.13,Avançado (≥ 8.0)
France,9,8.5,7.5,7,9,7.5,7.5,8.09,Avançado (≥ 8.0)
Norway,8,8,9,8.5,8,6.5,8,8.05,Avançado (≥ 8.0)
Canada,8,8,8,8,8,7.5,7,7.86,Desenvolvido (6.5–7.9)
Germany,8,8,7.5,7.5,8.5,7,7,7.71,Desenvolvido (6.5–7.9)
Netherlands,7.5,7.5,8,8.5,8,7,7,7.68,Desenvolvido (6.5–7.9)
New Zealand,7.5,8,8.5,8,7.5,6.5,7,7.66,Desenvolvido (6.5–7.9)
Japan,7.5,7,7,8,6.5,6.5,7,7.12,Desenvolvido (6.5–7.9)
Spain,7,7,6.5,7,8.5,6.5,6.5,7,Desenvolvido (6.5–7.9)
India,6.5,5.5,5.5,5.5,5.5,5,5.5,5.64,Em desenvolvimento (5.0–6.4)
Brazil,6,5.5,5,5.5,6.5,5.5,5,5.6000000000000005,Em desenvolvimento (5.0–6.4)
South Africa,6,5.5,5,5,5.5,4.5,5,5.29,Em desenvolvimento (5.0–6.4)
